Class,Precision,Recall,F1-Score,Support
Pepper__bell___Bacterial_spot,0.9801980198019802,0.99,0.9850746268656716,100.0
Pepper__bell___healthy,0.9733333333333334,1.0,0.9864864864864865,146.0
Potato___Early_blight,0.9595959595959596,0.9595959595959596,0.9595959595959596,99.0
Potato___Late_blight,0.9223300970873787,0.95,0.9359605911330049,100.0
Potato___healthy,1.0,0.7142857142857143,0.8333333333333334,14.0
Tomato_Bacterial_spot,0.9181818181818182,0.9665071770334929,0.9417249417249417,209.0
Tomato_Early_blight,0.8352941176470589,0.7171717171717171,0.7717391304347826,99.0
Tomato_Late_blight,0.9664804469273743,0.9301075268817204,0.947945205479452,186.0
Tomato_Leaf_Mold,0.9318181818181818,0.8723404255319149,0.9010989010989011,94.0
Tomato_Septoria_leaf_spot,0.8802395209580839,0.8352272727272727,0.8571428571428571,176.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9096045197740112,0.9640718562874252,0.936046511627907,167.0
Tomato__Target_Spot,0.8543046357615894,0.9280575539568345,0.8896551724137931,139.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.963855421686747,0.9580838323353293,0.960960960960961,167.0
